id	daddy	nivel	name	arco
P11349	1	2	0:N/A	M51.32423138590056,-95.02538225467205A108,108,0,0,1,51.467207766798204,-94.94802011990153L25.733603883399102,-47.474010059950764A54,54,0,0,0,25.66211569295028,-47.512691127336026Z
P11350	1	2	05:Los demas productos de origen animal no expresados ni comprendidos en otra part	M51.467207766798204,-94.94802011990153A108,108,0,0,1,51.75281037688535,-94.79265065443707L25.876405188442675,-47.396325327218534A54,54,0,0,0,25.733603883399102,-47.474010059950764Z
P11351	1	2	0:N/A	M51.75281037688535,-94.79265065443707A108,108,0,0,1,51.89543595898454,-94.71464367576397L25.94771797949227,-47.35732183788198A54,54,0,0,0,25.876405188442675,-47.396325327218534Z
P11352	1	2	05:Los demas productos de origen animal no expresados ni comprendidos en otra part	M51.89543595898454,-94.71464367576397A108,108,0,0,1,52.18033406155967,-94.55798611023839L26.090167030779835,-47.278993055119194A54,54,0,0,0,25.94771797949227,-47.35732183788198Z
P11353	1	2	05:Los demas productos de origen animal no expresados ni comprendidos en otra part	M52.18033406155967,-94.55798611023839A108,108,0,0,1,52.46475926410266,-94.40047158441399L26.23237963205133,-47.200235792206996A54,54,0,0,0,26.090167030779835,-47.278993055119194Z
P11354	1	2	05:Los demas productos de origen animal no expresados ni comprendidos en otra part	M52.46475926410266,-94.40047158441399A108,108,0,0,1,52.8196218250727,-94.2023755021937L26.40981091253635,-47.10118775109685A54,54,0,0,0,26.23237963205133,-47.200235792206996Z
P11355	1	2	0:N/A	M52.8196218250727,-94.2023755021937A108,108,0,0,1,53.03218066264434,-94.08287736971404L26.51609033132217,-47.04143868485702A54,54,0,0,0,26.40981091253635,-47.10118775109685Z
P11356	1	2	0:N/A	M53.03218066264434,-94.08287736971404A108,108,0,0,1,53.385844082063805,-93.88264829906308L26.692922041031903,-46.94132414953154A54,54,0,0,0,26.51609033132217,-47.04143868485702Z
P11357	2	2	05:Los demas productos de origen animal no expresados ni comprendidos en otra part	M53.385844082063805,-93.88264829906308A108,108,0,0,1,54.51246224919502,-93.23299555162907L27.25623112459751,-46.61649777581454A54,54,0,0,0,26.692922041031903,-46.94132414953154Z
P11358	2	2	06:Plantas vivas y productos de la floricultur	M54.51246224919502,-93.23299555162907A108,108,0,0,1,55.97912725136288,-92.35982520650265L27.98956362568144,-46.179912603251324A54,54,0,0,0,27.25623112459751,-46.61649777581454Z
P11359	2	2	06:Plantas vivas y productos de la floricultur	M55.97912725136288,-92.35982520650265A108,108,0,0,1,58.255495502733204,-90.94117463355657L29.127747751366602,-45.470587316778285A54,54,0,0,0,27.98956362568144,-46.179912603251324Z
P11360	2	2	06:Plantas vivas y productos de la floricultur	M58.255495502733204,-90.94117463355657A108,108,0,0,1,59.82088894689518,-89.91919286561259L29.91044447344759,-44.95959643280629A54,54,0,0,0,29.127747751366602,-45.470587316778285Z
P11361	2	2	06:Plantas vivas y productos de la floricultur	M59.82088894689518,-89.91919286561259A108,108,0,0,1,61.301455913080915,-88.9164298818649L30.650727956540457,-44.45821494093245A54,54,0,0,0,29.91044447344759,-44.95959643280629Z
P11362	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M61.301455913080915,-88.9164298818649A108,108,0,0,1,61.56885618727202,-88.73148228104283L30.78442809363601,-44.365741140521415A54,54,0,0,0,30.650727956540457,-44.45821494093245Z
P11363	2	2	0:N/A	M61.56885618727202,-88.73148228104283A108,108,0,0,1,61.835698475114555,-88.54573052437206L30.917849237557277,-44.27286526218603A54,54,0,0,0,30.78442809363601,-44.365741140521415Z
P11364	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M61.835698475114555,-88.54573052437206A108,108,0,0,1,62.36769942347761,-88.17182128448266L31.183849711738805,-44.08591064224133A54,54,0,0,0,30.917849237557277,-44.27286526218603Z
P11365	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M62.36769942347761,-88.17182128448266A108,108,0,0,1,62.96349705185639,-87.7473534586706L31.481748525928197,-43.8736767293353A54,54,0,0,0,31.183849711738805,-44.08591064224133Z
P11366	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M62.96349705185639,-87.7473534586706A108,108,0,0,1,63.4906706389176,-87.36666836855167L31.7453353194588,-43.683334184275836A54,54,0,0,0,31.481748525928197,-43.8736767293353Z
P11367	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M63.4906706389176,-87.36666836855167A108,108,0,0,1,63.75339552050897,-87.17513727896015L31.876697760254483,-43.587568639480075A54,54,0,0,0,31.7453353194588,-43.683334184275836Z
P11368	2	2	0:N/A	M63.75339552050897,-87.17513727896015A108,108,0,0,1,63.884541440765894,-87.07907535627066L31.942270720382947,-43.53953767813533A54,54,0,0,0,31.876697760254483,-43.587568639480075Z
P11369	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M63.884541440765894,-87.07907535627066A108,108,0,0,1,64.27710955471697,-86.78970668973892L32.138554777358486,-43.39485334486946A54,54,0,0,0,31.942270720382947,-43.53953767813533Z
P11370	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M64.27710955471697,-86.78970668973892A108,108,0,0,1,66.28432202543269,-85.26657406996449L33.14216101271634,-42.633287034982246A54,54,0,0,0,32.138554777358486,-43.39485334486946Z
P11371	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M66.28432202543269,-85.26657406996449A108,108,0,0,1,67.56021843476272,-84.25922433209998L33.78010921738136,-42.12961216604999A54,54,0,0,0,33.14216101271634,-42.633287034982246Z
P11372	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M67.56021843476272,-84.25922433209998A108,108,0,0,1,68.38136074768607,-83.5941953863713L34.19068037384304,-41.79709769318565A54,54,0,0,0,33.78010921738136,-42.12961216604999Z
P11373	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M68.38136074768607,-83.5941953863713A108,108,0,0,1,69.32069381516754,-82.816914993157L34.66034690758377,-41.4084574965785A54,54,0,0,0,34.19068037384304,-41.79709769318565Z
P11374	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M69.32069381516754,-82.816914993157A108,108,0,0,1,71.05038656534508,-81.33782987586424L35.52519328267254,-40.66891493793212A54,54,0,0,0,34.66034690758377,-41.4084574965785Z
P11375	2	2	07:Hortalizas, plantas, raices y tuberculos alimenticio	M71.05038656534508,-81.33782987586424A108,108,0,0,1,72.20618432764607,-80.31355392984425L36.103092163823035,-40.15677696492212A54,54,0,0,0,35.52519328267254,-40.66891493793212Z
P11376	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M72.20618432764607,-80.31355392984425A108,108,0,0,1,73.04839032734853,-79.54830400821463L36.524195163674264,-39.774152004107314A54,54,0,0,0,36.103092163823035,-40.15677696492212Z
P11377	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M73.04839032734853,-79.54830400821463A108,108,0,0,1,75.29323219902267,-77.42692803556174L37.646616099511334,-38.71346401778087A54,54,0,0,0,36.524195163674264,-39.774152004107314Z
P11378	2	2	0:N/A	M75.29323219902267,-77.42692803556174A108,108,0,0,1,75.40969180399603,-77.31350711244663L37.70484590199801,-38.656753556223315A54,54,0,0,0,37.646616099511334,-38.71346401778087Z
P11379	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M75.40969180399603,-77.31350711244663A108,108,0,0,1,75.6420981828516,-77.08614001554261L37.8210490914258,-38.543070007771306A54,54,0,0,0,37.70484590199801,-38.656753556223315Z
P11380	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M75.6420981828516,-77.08614001554261A108,108,0,0,1,76.45010819901657,-76.28486715174026L38.225054099508284,-38.14243357587013A54,54,0,0,0,37.8210490914258,-38.543070007771306Z
P11381	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M76.45010819901657,-76.28486715174026A108,108,0,0,1,77.13593633584614,-75.59131779240451L38.56796816792307,-37.795658896202255A54,54,0,0,0,38.225054099508284,-38.14243357587013Z
P11382	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M77.13593633584614,-75.59131779240451A108,108,0,0,1,77.36315033551116,-75.35876173455279L38.68157516775558,-37.67938086727639A54,54,0,0,0,38.56796816792307,-37.795658896202255Z
P11383	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M77.36315033551116,-75.35876173455279A108,108,0,0,1,77.75908651315079,-74.95014652847806L38.879543256575396,-37.47507326423903A54,54,0,0,0,38.68157516775558,-37.67938086727639Z
P11384	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M77.75908651315079,-74.95014652847806A108,108,0,0,1,78.2649745685606,-74.42172905665764L39.1324872842803,-37.21086452832882A54,54,0,0,0,38.879543256575396,-37.47507326423903Z
P11385	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M78.2649745685606,-74.42172905665764A108,108,0,0,1,78.98935637727458,-73.65243769967097L39.49467818863729,-36.826218849835485A54,54,0,0,0,39.1324872842803,-37.21086452832882Z
P11386	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M78.98935637727458,-73.65243769967097A108,108,0,0,1,79.92520524350647,-72.6358146287585L39.962602621753234,-36.31790731437925A54,54,0,0,0,39.49467818863729,-36.826218849835485Z
P11387	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M79.92520524350647,-72.6358146287585A108,108,0,0,1,80.25238896440199,-72.27415904392338L40.126194482200994,-36.13707952196169A54,54,0,0,0,39.962602621753234,-36.31790731437925Z
P11388	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M80.25238896440199,-72.27415904392338A108,108,0,0,1,80.57793623595518,-71.91102969610672L40.28896811797759,-35.95551484805336A54,54,0,0,0,40.126194482200994,-36.13707952196169Z
P11389	2	2	08:Frutas y frutos comestibles  cortezas de agrios (citricos), melones o sandia	M80.57793623595518,-71.91102969610672A108,108,0,0,1,81.38460146742909,-70.9968072802414L40.692300733714546,-35.4984036401207A54,54,0,0,0,40.28896811797759,-35.95551484805336Z
